Municípios;Código municipal;UF;% do total geral
Boca da Mata;2701001;AL;73,39
Boca do Acre;1300706;AM;46,41
Bocaina;2201804;PI;94,29
Bocaina;3506805;SP;94,53
Bocaina de Minas;3107208;MG;42,24
Bocaina do Sul;4202438;SC;38,52
Bocaiúva;3107307;MG;83,42
Bocaiúva do Sul;4103107;PR;68,56
Bodó;2401651;RN;81,83
Bodocó;2602001;PE;40,66
Bodoquena;5002159;MS;73,63
Bofete;3506904;SP;70,58
Boituva;3507001;SP;91,34
Bom Conselho;2602100;PE;60,32
Bom Despacho;3107406;MG;93,72
Bom Jardim;2102002;MA;71,48
Bom Jardim;2602209;PE;48,52
Bom Jardim;3300506;RJ;57,8
Bom Jardim da Serra;4202503;SC;49,35
Bom Jardim de Goiás;5203401;GO;67,93
Bom Jardim de Minas;3107505;MG;88,88
Bom Jesus;2201903;PI;86,3
Bom Jesus;2401701;RN;96,76
Bom Jesus;2502201;PB;63,73
Bom Jesus;4202537;SC;63,86
Bom Jesus;4302303;RS;76,8
Bom Jesus da Lapa;2903904;BA;78,59
Bom Jesus da Penha;3107604;MG;73,11
Bom Jesus da Serra;2903953;BA;40,54
Bom Jesus das Selvas;2102036;MA;75,53
Bom Jesus de Goiás;5203500;GO;81,93
Bom Jesus do Amparo;3107703;MG;54,26
Bom Jesus do Araguaia;5101852;MT;3,35
Bom Jesus do Galho;3107802;MG;67,43
Bom Jesus do Itabapoana;3300605;RJ;86,87
Bom Jesus do Norte;3201100;ES;93,77
Bom Jesus do Oeste;4202578;SC;84,2
Bom Jesus do Sul;4103156;PR;83,77
Bom Jesus do Tocantins;1501576;PA;48,39
Bom Jesus do Tocantins;1703305;TO;77,71
Bom Jesus dos Perdões;3507100;SP;86,23
Bom Lugar;2102077;MA;50,76
Bom Princípio;4302352;RS;73,02
Bom Princípio do Piauí;2201919;PI;84,77
Bom Progresso;4302378;RS;75,03
Bom Repouso;3107901;MG;57,58
Bom Retiro;4202602;SC;74,84
Bom Retiro do Sul;4302402;RS;92,11
Bom Sucesso;2502300;PB;52,75
Bom Sucesso;3108008;MG;89,52
Bom Sucesso;4103206;PR;88,11
Bom Sucesso de Itararé;3507159;SP;71,49
Bom Sucesso do Sul;4103222;PR;53,34
Bombinhas;4202453;SC;86,5
Bonfim;1400159;RR;60,23
Bonfim;3108107;MG;67,03
Bonfim do Piauí;2201929;PI;15,41
Bonfinópolis;5203559;GO;87,15
Bonfinópolis de Minas;3108206;MG;71,06
Boninal;2904001;BA;97,42
Bonito;1501600;PA;73,61
Bonito;2602308;PE;77,62
Bonito;2904050;BA;88,31
Bonito;5002209;MS;82,37
Bonito de Minas;3108255;MG;51,23
Bonito de Santa Fé;2502409;PB;74,38
Bonópolis;5203575;GO;51,5
Boqueirão;2502508;PB;78,28
Boqueirão do Leão;4302451;RS;58,44
Boqueirão do Piauí;2201945;PI;93,08
Boquim;2800670;SE;58,72
Boquira;2904100;BA;48,95
Borá;3507209;SP;82,92
Boracéia;3507308;SP;92,84
Borba;1300805;AM;61,34
Borborema;2502706;PB;60,37
Borborema;3507407;SP;92,27
Borda da Mata;3108305;MG;77,77
Borebi;3507456;SP;88,72
Borrazópolis;4103305;PR;87,1
Bossoroca;4302501;RS;85,71
Botelhos;3108404;MG;77,79
Botucatu;3507506;SP;97,21
Botumirim;3108503;MG;62,56
Botuporã;2904209;BA;67,72
Botuverá;4202701;SC;39,68
Bozano;4302584;RS;79,06
Braço do Norte;4202800;SC;64,03
Braço do Trombudo;4202859;SC;66,13
Braga;4302600;RS;62,12
Bragança;1501709;PA;31,18
Bragança Paulista;3507605;SP;88,85
Braganey;4103354;PR;78,09
Branquinha;2701100;AL;65,99
Brás Pires;3108701;MG;56,61
Brasil Novo;1501725;PA;63,81
Brasilândia;5002308;MS;84,06
