Municípios;Código municipal;UF;% do total geral
Bom Jesus das Selvas;2102036;MA;67,95
Bom Jesus de Goiás;5203500;GO;95,82
Bom Jesus do Amparo;3107703;MG;87,28
Bom Jesus do Araguaia;5101852;MT;68,96
Bom Jesus do Galho;3107802;MG;72,37
Bom Jesus do Itabapoana;3300605;RJ;95,29
Bom Jesus do Norte;3201100;ES;95,49
Bom Jesus do Oeste;4202578;SC;97,51
Bom Jesus do Sul;4103156;PR;63,64
Bom Jesus do Tocantins;1501576;PA;67,93
Bom Jesus do Tocantins;1703305;TO;79,06
Bom Jesus dos Perdões;3507100;SP;99,31
Bom Lugar;2102077;MA;39,86
Bom Princípio;4302352;RS;99,48
Bom Princípio do Piauí;2201919;PI;54,26
Bom Progresso;4302378;RS;96,59
Bom Repouso;3107901;MG;94,75
Bom Retiro;4202602;SC;96,84
Bom Retiro do Sul;4302402;RS;98,95
Bom Sucesso;2502300;PB;58,9
Bom Sucesso;3108008;MG;95,11
Bom Sucesso;4103206;PR;94,14
Bom Sucesso de Itararé;3507159;SP;98,47
Bom Sucesso do Sul;4103222;PR;60,71
Bombinhas;4202453;SC;99,97
Bonfim;1400159;RR;43,91
Bonfim;3108107;MG;83,2
Bonfim do Piauí;2201929;PI;29,86
Bonfinópolis;5203559;GO;97
Bonfinópolis de Minas;3108206;MG;76,6
Boninal;2904001;BA;53,51
Bonito;1501600;PA;62,93
Bonito;2602308;PE;81,15
Bonito;2904050;BA;87,97
Bonito;5002209;MS;88,98
Bonito de Minas;3108255;MG;37,55
Bonito de Santa Fé;2502409;PB;78,32
Bonópolis;5203575;GO;66,94
Boqueirão;2502508;PB;77,74
Boqueirão do Leão;4302451;RS;73,93
Boqueirão do Piauí;2201945;PI;67,8
Boquim;2800670;SE;91,9
Boquira;2904100;BA;47,36
Borá;3507209;SP;91,3
Boracéia;3507308;SP;97,06
Borba;1300805;AM;63,01
Borborema;2502706;PB;83,78
Borborema;3507407;SP;94,78
Borda da Mata;3108305;MG;95,17
Borebi;3507456;SP;95,34
Borrazópolis;4103305;PR;86,77
Bossoroca;4302501;RS;66,26
Botelhos;3108404;MG;95,08
Botucatu;3507506;SP;99,4
Botumirim;3108503;MG;57,96
Botuporã;2904209;BA;53,53
Botuverá;4202701;SC;98,94
Bozano;4302584;RS;63,07
Braço do Norte;4202800;SC;94,92
Braço do Trombudo;4202859;SC;98,8
Braga;4302600;RS;75,53
Bragança;1501709;PA;73,29
Bragança Paulista;3507605;SP;99,73
Braganey;4103354;PR;87,11
Branquinha;2701100;AL;67,33
Brás Pires;3108701;MG;77,6
Brasil Novo;1501725;PA;54,12
Brasilândia;5002308;MS;82,98
