Municípios;Código municipal;UF;% do total geral
Bom Jardim da Serra;4202503;SC;99,8
Bom Jardim de Goiás;5203401;GO;99,71
Bom Jardim de Minas;3107505;MG;99,81
Bom Jesus;2201903;PI;95,74
Bom Jesus;2401701;RN;99,48
Bom Jesus;2502201;PB;98,76
Bom Jesus;4202537;SC;99,18
Bom Jesus;4302303;RS;99,09
Bom Jesus da Lapa;2903904;BA;95,71
Bom Jesus da Penha;3107604;MG;99,88
Bom Jesus da Serra;2903953;BA;87,54
Bom Jesus das Selvas;2102036;MA;82,21
Bom Jesus de Goiás;5203500;GO;99,91
Bom Jesus do Amparo;3107703;MG;99,95
Bom Jesus do Araguaia;5101852;MT;99,03
Bom Jesus do Galho;3107802;MG;99,84
Bom Jesus do Itabapoana;3300605;RJ;99,8
Bom Jesus do Norte;3201100;ES;99,93
Bom Jesus do Oeste;4202578;SC;99,88
Bom Jesus do Sul;4103156;PR;98,77
Bom Jesus do Tocantins;1501576;PA;92,72
Bom Jesus do Tocantins;1703305;TO;95,21
Bom Jesus dos Perdões;3507100;SP;99,92
Bom Lugar;2102077;MA;92,87
Bom Princípio;4302352;RS;99,96
Bom Princípio do Piauí;2201919;PI;86,2
Bom Progresso;4302378;RS;98,9
Bom Repouso;3107901;MG;99,84
Bom Retiro;4202602;SC;99,6
Bom Retiro do Sul;4302402;RS;99,75
Bom Sucesso;2502300;PB;97,28
Bom Sucesso;3108008;MG;99,89
Bom Sucesso;4103206;PR;99,84
Bom Sucesso de Itararé;3507159;SP;98,89
Bom Sucesso do Sul;4103222;PR;100
Bombinhas;4202453;SC;99,87
Bonfim;1400159;RR;72,36
Bonfim;3108107;MG;99,84
Bonfim do Piauí;2201929;PI;56,09
Bonfinópolis;5203559;GO;99,92
Bonfinópolis de Minas;3108206;MG;99,24
Boninal;2904001;BA;98,04
Bonito;1501600;PA;80,66
Bonito;2602308;PE;98,34
Bonito;2904050;BA;94,09
Bonito;5002209;MS;99,75
Bonito de Minas;3108255;MG;81,98
Bonito de Santa Fé;2502409;PB;94,21
Bonópolis;5203575;GO;99,6
Boqueirão;2502508;PB;97,49
Boqueirão do Leão;4302451;RS;99,34
Boqueirão do Piauí;2201945;PI;93,61
