Municípios;Código municipal;UF;% do total geral
Bombinhas;4202453;SC;50,97
Bonfim;1400159;RR;65,32
Bonfim;3108107;MG;82,02
Bonfim do Piauí;2201929;PI;93,3
Bonfinópolis;5203559;GO;52,54
Bonfinópolis de Minas;3108206;MG;66,13
Boninal;2904001;BA;89,11
Bonito;1501600;PA;83,5
Bonito;2602308;PE;70,09
Bonito;2904050;BA;82,19
Bonito;5002209;MS;51,9
Bonito de Minas;3108255;MG;86,26
Bonito de Santa Fé;2502409;PB;67,09
Bonópolis;5203575;GO;67,56
Boqueirão;2502508;PB;74,45
Boqueirão do Leão;4302451;RS;68,09
Boqueirão do Piauí;2201945;PI;92,27
Boquim;2800670;SE;72,23
Boquira;2904100;BA;90,96
Borá;3507209;SP;42,86
Boracéia;3507308;SP;44,65
Borba;1300805;AM;88,86
Borborema;2502706;PB;80,85
Borborema;3507407;SP;51,15
Borda da Mata;3108305;MG;60,6
Borebi;3507456;SP;41,2
Borrazópolis;4103305;PR;53,06
Bossoroca;4302501;RS;75,89
Botelhos;3108404;MG;57,64
Botucatu;3507506;SP;51,44
Botumirim;3108503;MG;82,87
Botuporã;2904209;BA;88,24
Botuverá;4202701;SC;77,23
Bozano;4302584;RS;85,64
Braço do Norte;4202800;SC;65,06
Braço do Trombudo;4202859;SC;68,27
Braga;4302600;RS;81,42
Bragança;1501709;PA;76,28
Bragança Paulista;3507605;SP;53,57
Braganey;4103354;PR;64,75
Branquinha;2701100;AL;79,78
Brás Pires;3108701;MG;81,11
Brasil Novo;1501725;PA;68,19
Brasilândia;5002308;MS;51,81
