system:index,area_ha,classe,nome,prodes,territory,year,.geo
0_4_20,42.92814392700168,52,Rio Branco-Brasiléia,2012,5,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_21,117.30915144882229,53,Rio Branco-Brasiléia,2013,5,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_22,183.84686083297765,54,Rio Branco-Brasiléia,2014,5,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_23,10764.637515809645,55,Rio Branco-Brasiléia,2015,5,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_24,1946.4788396522517,56,Rio Branco-Brasiléia,2016,5,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_25,307.16740330123895,57,Rio Branco-Brasiléia,2017,5,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_26,207.95292083282476,58,Rio Branco-Brasiléia,2018,5,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_27,2580.052535709379,59,Rio Branco-Brasiléia,2019,5,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_28,690.0768997497574,60,Rio Branco-Brasiléia,2020,5,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_29,676.5410969963071,61,Rio Branco-Brasiléia,2021,5,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_30,216.2673356842044,62,Rio Branco-Brasiléia,2022,5,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_31,448.2195975143436,63,Rio Branco-Brasiléia,2023,5,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_32,1017.9552728569035,64,Rio Branco-Brasiléia,2024,5,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_33,47.95124124603269,91,Rio Branco-Brasiléia,Hidrografia,5,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_34,2178788.5436711535,100,Rio Branco-Brasiléia,Vegetação Nativa,5,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_35,40.99837679214498,101,Rio Branco-Brasiléia,Não Floresta,5,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_0,872751.9850347717,7,Salgado-Bragantino,2007,6,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_1,5889.374582961271,8,Salgado-Bragantino,2008,6,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_2,2349.6545817375277,9,Salgado-Bragantino,2009,6,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_3,2038.8143325462322,10,Salgado-Bragantino,2010,6,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_4,1044.2346640830979,11,Salgado-Bragantino,2011,6,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_5,392.0209775703459,12,Salgado-Bragantino,2012,6,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_6,1454.2689432640047,13,Salgado-Bragantino,2013,6,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_7,528.3090308891387,14,Salgado-Bragantino,2014,6,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_8,1626.5149264640866,15,Salgado-Bragantino,2015,6,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_9,865.7727907249425,16,Salgado-Bragantino,2016,6,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_10,1079.24422728729,17,Salgado-Bragantino,2017,6,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_11,809.5128327789324,18,Salgado-Bragantino,2018,6,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_12,733.3224644699085,19,Salgado-Bragantino,2019,6,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_13,975.6241534751888,20,Salgado-Bragantino,2020,6,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_14,990.3120094497689,21,Salgado-Bragantino,2021,6,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_15,453.1658580108652,22,Salgado-Bragantino,2022,6,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_16,715.6921354347248,23,Salgado-Bragantino,2023,6,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_17,991.7814142112737,24,Salgado-Bragantino,2024,6,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_18,90.74217551498424,50,Salgado-Bragantino,2010,6,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_19,76.90236375198347,51,Salgado-Bragantino,2011,6,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_20,14.518367660522422,52,Salgado-Bragantino,2012,6,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_21,34.91819212951667,54,Salgado-Bragantino,2014,6,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_22,870.8548596466054,55,Salgado-Bragantino,2015,6,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_23,67.57595977020272,56,Salgado-Bragantino,2016,6,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_24,60.59111860198965,57,Salgado-Bragantino,2017,6,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_25,29.02103185729972,58,Salgado-Bragantino,2018,6,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_26,57.95103577575655,59,Salgado-Bragantino,2019,6,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_27,7.0320954788207715,60,Salgado-Bragantino,2020,6,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_28,7.578083144378611,62,Salgado-Bragantino,2022,6,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_29,114.44785619354258,64,Salgado-Bragantino,2024,6,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_30,154144.56591265002,91,Salgado-Bragantino,Hidrografia,6,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_31,364442.8781056586,100,Salgado-Bragantino,Vegetação Nativa,6,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_32,48176.11571142728,101,Salgado-Bragantino,Não Floresta,6,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
