Municípios;Código municipal;UF;habitantes por km²
Bela Vista;5002100;MS;4,41
Bela Vista da Caroba;4102752;PR;27,22
Bela Vista de Goiás;5203302;GO;27,04
Bela Vista de Minas;3106002;MG;93,15
Bela Vista do Maranhão;2101772;MA;79,42
Bela Vista do Paraíso;4102802;PR;61,12
Bela Vista do Piauí;2201556;PI;8,2
Bela Vista do Toldo;4202131;SC;10,96
Belágua;2101731;MA;14,85
Belém;1501402;PA;1.230,25
Belém;2501906;PB;164,65
Belém;2700805;AL;70,87
Belém de Maria;2601508;PE;141,88
Belém do Brejo do Cruz;2502003;PB;10,42
Belém do Piauí;2201572;PI;14,07
Belém do São Francisco;2601607;PE;10
Belford Roxo;3300456;RJ;6.116,19
Belmiro Braga;3106101;MG;8,25
Belmonte;2903409;BA;10,37
Belmonte;4202156;SC;28,32
Belo Campo;2903508;BA;23,83
Belo Horizonte;3106200;MG;6.988,18
Belo Jardim;2601706;PE;122,8
Belo Monte;2700904;AL;17,77
Belo Oriente;3106309;MG;71,45
Belo Vale;3106408;MG;23,58
Belterra;1501451;PA;4,11
Beneditinos;2201606;PI;10,6
Benedito Leite;2101806;MA;3,06
Benedito Novo;4202206;SC;27,09
Benevides;1501501;PA;338,44
Benjamin Constant;1300607;AM;4,32
Benjamin Constant do Sul;4302055;RS;15,73
Bento de Abreu;3506201;SP;8,64
Bento Fernandes;2401602;RN;15,97
Bento Gonçalves;4302105;RS;452,28
Bequimão;2101905;MA;24,78
Berilo;3106507;MG;16,74
Berizal;3106655;MG;8,6
Bernardino Batista;2502052;PB;60,99
Bernardino de Campos;3506300;SP;47,54
Bernardo do Mearim;2101939;MA;23,63
Bernardo Sayão;1703206;TO;4,58
Bertioga;3506359;SP;130,58
Bertolínia;2201705;PI;4,57
Bertópolis;3106606;MG;10,4
Beruri;1300631;AM;1,19
Betânia;2601805;PE;9,03
Betânia do Piauí;2201739;PI;10,73
Betim;3106705;MG;1.197,01
Bezerros;2601904;PE;125,23
Bias Fortes;3106804;MG;11,85
Bicas;3106903;MG;99,78
Biguaçu;4202305;SC;209,9
Bilac;3506409;SP;46,32
Biquinhas;3107000;MG;5,19
Birigui;3506508;SP;224,48
Biritiba Mirim;3506607;SP;93,52
Biritinga;2903607;BA;27,35
Bituruna;4102901;PR;12,58
Blumenau;4202404;SC;696,58
Boa Esperança;3107109;MG;46,3
Boa Esperança;3201001;ES;31,74
Boa Esperança;4103008;PR;15,06
Boa Esperança do Iguaçu;4103024;PR;16,17
Boa Esperança do Sul;3506706;SP;18,79
Boa Hora;2201770;PI;20,48
Boa Nova;2903706;BA;16,13
Boa Ventura;2502102;PB;30,87
Boa Ventura de São Roque;4103040;PR;10,28
Boa Viagem;2302404;CE;17,78
Boa Vista;1400100;RR;72,71
Boa Vista;2502151;PB;13,6
Boa Vista da Aparecida;4103057;PR;29,77
Boa Vista das Missões;4302154;RS;9,86
Boa Vista do Buricá;4302204;RS;63,59
Boa Vista do Cadeado;4302220;RS;3,18
Boa Vista do Gurupi;2101970;MA;18,92
Boa Vista do Incra;4302238;RS;4,5
Boa Vista do Ramos;1300680;AM;9,19
Boa Vista do Sul;4302253;RS;29,44
Boa Vista do Tupim;2903805;BA;5,68
Boca da Mata;2701001;AL;109,78
Boca do Acre;1300706;AM;1,62
Bocaina;2201804;PI;15,59
Bocaina;3506805;SP;30,94
Bocaina de Minas;3107208;MG;10,62
Bocaina do Sul;4202438;SC;6,88
Bocaiúva;3107307;MG;14,98
Bocaiúva do Sul;4103107;PR;16,11
Bodó;2401651;RN;9,1
Bodocó;2602001;PE;21,26
Bodoquena;5002159;MS;3,31
Bofete;3506904;SP;16,01
Boituva;3507001;SP;245,35
Bom Conselho;2602100;PE;55,91
Bom Despacho;3107406;MG;42,63
Bom Jardim;2102002;MA;5,02
Bom Jardim;2602209;PE;167,91
Bom Jardim;3300506;RJ;73,48
Bom Jardim da Serra;4202503;SC;4,29
Bom Jardim de Goiás;5203401;GO;4,12
Bom Jardim de Minas;3107505;MG;16,46
Bom Jesus;2201903;PI;5,26
Bom Jesus;2401701;RN;81,55
Bom Jesus;2502201;PB;48,26
Bom Jesus;4202537;SC;43,47
Bom Jesus;4302303;RS;4,27
Bom Jesus da Lapa;2903904;BA;15,93
Bom Jesus da Penha;3107604;MG;21,47
Bom Jesus da Serra;2903953;BA;20,79
Bom Jesus das Selvas;2102036;MA;10,68
Bom Jesus de Goiás;5203500;GO;17,04
Bom Jesus do Amparo;3107703;MG;28,79
Bom Jesus do Araguaia;5101852;MT;1,71
Bom Jesus do Galho;3107802;MG;24,54
Bom Jesus do Itabapoana;3300605;RJ;58,95
Bom Jesus do Norte;3201100;ES;115,1
Bom Jesus do Oeste;4202578;SC;32,27
Bom Jesus do Sul;4103156;PR;22,6
Bom Jesus do Tocantins;1501576;PA;6,39
Bom Jesus do Tocantins;1703305;TO;3,04
Bom Jesus dos Perdões;3507100;SP;203,07
Bom Lugar;2102077;MA;27,43
Bom Princípio;4302352;RS;148,23
Bom Princípio do Piauí;2201919;PI;10,77
Bom Progresso;4302378;RS;23,5
Bom Repouso;3107901;MG;55,03
Bom Retiro;4202602;SC;7,96
Bom Retiro do Sul;4302402;RS;119,89
Bom Sucesso;2502300;PB;25,05
Bom Sucesso;3108008;MG;24,33
Bom Sucesso;4103206;PR;20,39
Bom Sucesso de Itararé;3507159;SP;26,61
Bom Sucesso do Sul;4103222;PR;16,34
Bombinhas;4202453;SC;713,03
Bonfim;1400159;RR;1,72
Bonfim;3108107;MG;24,63
Bonfim do Piauí;2201929;PI;20,45
Bonfinópolis;5203559;GO;84,45
Bonfinópolis de Minas;3108206;MG;2,99
Boninal;2904001;BA;15,19
Bonito;1501600;PA;21,5
Bonito;2602308;PE;95,31
Bonito;2904050;BA;20,02
Bonito;5002209;MS;4,4
Bonito de Minas;3108255;MG;2,59
Bonito de Santa Fé;2502409;PB;45,2
Bonópolis;5203575;GO;2,02
Boqueirão;2502508;PB;47,17
Boqueirão do Leão;4302451;RS;23,49
Boqueirão do Piauí;2201945;PI;24,26
Boquim;2800670;SE;119,92
Boquira;2904100;BA;13,55
Borá;3507209;SP;7,62
Boracéia;3507308;SP;38,61
Borba;1300805;AM;0,75
Borborema;2502706;PB;161,41
Borborema;3507407;SP;25,76
Borda da Mata;3108305;MG;57,8
Borebi;3507456;SP;7,8
Borrazópolis;4103305;PR;23,13
Bossoroca;4302501;RS;3,66
Botelhos;3108404;MG;44,38
Botucatu;3507506;SP;97,9
Botumirim;3108503;MG;3,69
Botuporã;2904209;BA;17,56
Botuverá;4202701;SC;18,1
Bozano;4302584;RS;10,73
Braço do Norte;4202800;SC;159,27
Braço do Trombudo;4202859;SC;45,03
Braga;4302600;RS;24,75
Bragança;1501709;PA;57,93
Bragança Paulista;3507605;SP;344,94
Braganey;4103354;PR;14,14
Branquinha;2701100;AL;57,14
Brás Pires;3108701;MG;19,07
