Municípios;Código municipal;UF;%
Arroio do Tigre;4301206;RS;sem ocorrência
Arroio dos Ratos;4301107;RS;sem ocorrência
Arroio Grande;4301305;RS;sem ocorrência
Arroio Trinta;4201604;SC;sem ocorrência
Artur Nogueira;3503802;SP;sem ocorrência
Aruanã;5202502;GO;0,16
Arujá;3503901;SP;6,4
Arvoredo;4201653;SC;sem ocorrência
Arvorezinha;4301404;RS;sem ocorrência
Ascurra;4201703;SC;sem ocorrência
Aspásia;3503950;SP;sem ocorrência
Assaí;4101903;PR;sem ocorrência
Assaré;2301604;CE;sem ocorrência
Assis;3504008;SP;0,08
Assis Brasil;1200054;AC;7,84
Assis Chateaubriand;4102000;PR;sem ocorrência
Assunção;2501351;PB;sem ocorrência
Assunção do Piauí;2201051;PI;sem ocorrência
Astolfo Dutra;3104601;MG;sem ocorrência
Astorga;4102109;PR;sem ocorrência
Atalaia;2700409;AL;sem ocorrência
Atalaia;4102208;PR;sem ocorrência
Atalaia do Norte;1300201;AM;sem ocorrência
Atalanta;4201802;SC;sem ocorrência
Ataléia;3104700;MG;sem ocorrência
Atibaia;3504107;SP;100
Atílio Vivácqua;3200706;ES;0,02
Augustinópolis;1702554;TO;0,01
Augusto Corrêa;1500909;PA;1,07
Augusto de Lima;3104809;MG;sem ocorrência
Augusto Pestana;4301503;RS;sem ocorrência
Áurea;4301552;RS;sem ocorrência
Aurelino Leal;2902401;BA;sem ocorrência
Auriflama;3504206;SP;sem ocorrência
Aurilândia;5202601;GO;sem ocorrência
Aurora;2301703;CE;sem ocorrência
Aurora;4201901;SC;sem ocorrência
Aurora do Pará;1500958;PA;sem ocorrência
Aurora do Tocantins;1702703;TO;sem ocorrência
Autazes;1300300;AM;sem ocorrência
Avaí;3504305;SP;100
Avanhandava;3504404;SP;sem ocorrência
Avaré;3504503;SP;0,88
Aveiro;1501006;PA;9,23
Avelino Lopes;2201101;PI;sem ocorrência
Avelinópolis;5202809;GO;sem ocorrência
Axixá;2101103;MA;100
Axixá do Tocantins;1702901;TO;sem ocorrência
Babaçulândia;1703008;TO;0,09
Bacabal;2101202;MA;1,49
Bacabeira;2101251;MA;24,57
Bacuri;2101301;MA;100
Bacurituba;2101350;MA;100
Bady Bassitt;3504602;SP;sem ocorrência
Baependi;3104908;MG;12,59
Bagé;4301602;RS;sem ocorrência
Bagre;1501105;PA;sem ocorrência
Baía da Traição;2501401;PB;0,31
Baía Formosa;2401404;RN;sem ocorrência
Baianópolis;2902500;BA;0,45
Baião;1501204;PA;2,83
Baixa Grande;2902609;BA;sem ocorrência
Baixa Grande do Ribeiro;2201150;PI;1,88
Baixio;2301802;CE;sem ocorrência
Baixo Guandu;3200805;ES;sem ocorrência
Balbinos;3504701;SP;100
Baldim;3105004;MG;sem ocorrência
Baliza;5203104;GO;0,09
Balneário Arroio do Silva;4201950;SC;sem ocorrência
Balneário Barra do Sul;4202057;SC;sem ocorrência
Balneário Camboriú;4202008;SC;sem ocorrência
Balneário Gaivota;4202073;SC;sem ocorrência
