Municípios;Código municipal;UF;homens para cada 100 mulheres
Barroso;3105905;MG;94,37
Barueri;3505708;SP;91,32
Bastos;3505807;SP;95,61
Bataguassu;5001904;MS;99,47
Batalha;2201507;PI;100,17
Batalha;2700706;AL;95,46
Batatais;3505906;SP;94,4
Batayporã;5002001;MS;97,75
Baturité;2302107;CE;96,74
Bauru;3506003;SP;93,61
Bayeux;2501807;PB;90,44
Bebedouro;3506102;SP;93,81
Beberibe;2302206;CE;99,18
Bela Cruz;2302305;CE;100,97
Bela Vista;5002100;MS;100,05
Bela Vista da Caroba;4102752;PR;101,95
Bela Vista de Goiás;5203302;GO;100,96
Bela Vista de Minas;3106002;MG;92,23
Bela Vista do Maranhão;2101772;MA;99,25
Bela Vista do Paraíso;4102802;PR;92,61
Bela Vista do Piauí;2201556;PI;105,89
Bela Vista do Toldo;4202131;SC;105,75
Belágua;2101731;MA;112,67
Belém;1501402;PA;88,18
Belém;2501906;PB;97,55
Belém;2700805;AL;92,73
Belém de Maria;2601508;PE;98,58
Belém do Brejo do Cruz;2502003;PB;98,04
Belém do Piauí;2201572;PI;98,9
Belém do São Francisco;2601607;PE;97,7
Belford Roxo;3300456;RJ;91,9
Belmiro Braga;3106101;MG;101,12
Belmonte;2903409;BA;101,43
Belmonte;4202156;SC;100,91
Belo Campo;2903508;BA;99,52
Belo Horizonte;3106200;MG;86,77
Belo Jardim;2601706;PE;92,53
Belo Monte;2700904;AL;100,47
Belo Oriente;3106309;MG;98,94
Belo Vale;3106408;MG;101,8
Belterra;1501451;PA;102,56
Beneditinos;2201606;PI;100,18
Benedito Leite;2101806;MA;105,68
Benedito Novo;4202206;SC;103,68
Benevides;1501501;PA;96,7
Benjamin Constant;1300607;AM;102,71
Benjamin Constant do Sul;4302055;RS;109,25
Bento de Abreu;3506201;SP;100,15
Bento Fernandes;2401602;RN;99,21
Bento Gonçalves;4302105;RS;94,07
Bequimão;2101905;MA;102,13
Berilo;3106507;MG;101,48
Berizal;3106655;MG;100,62
Bernardino Batista;2502052;PB;96,52
Bernardino de Campos;3506300;SP;112,08
Bernardo do Mearim;2101939;MA;99,79
Bernardo Sayão;1703206;TO;103,61
Bertioga;3506359;SP;99,03
Bertolínia;2201705;PI;103,89
Bertópolis;3106606;MG;107,7
Beruri;1300631;AM;108,77
Betânia;2601805;PE;99,57
Betânia do Piauí;2201739;PI;103,6
Betim;3106705;MG;94,06
Bezerros;2601904;PE;90,09
Bias Fortes;3106804;MG;109,67
Bicas;3106903;MG;91,51
Biguaçu;4202305;SC;95,79
Bilac;3506409;SP;96,69
Biquinhas;3107000;MG;96,94
Birigui;3506508;SP;93,67
Biritiba Mirim;3506607;SP;99,11
Biritinga;2903607;BA;101,04
Bituruna;4102901;PR;104,3
Blumenau;4202404;SC;95,41
Boa Esperança;3107109;MG;97,7
Boa Esperança;3201001;ES;98,77
Boa Esperança;4103008;PR;96,64
Boa Esperança do Iguaçu;4103024;PR;106,65
Boa Esperança do Sul;3506706;SP;96,96
Boa Hora;2201770;PI;105,42
Boa Nova;2903706;BA;99,24
Boa Ventura;2502102;PB;100,35
Boa Ventura de São Roque;4103040;PR;105,81
Boa Viagem;2302404;CE;98,55
Boa Vista;1400100;RR;97,44
Boa Vista;2502151;PB;98,91
Boa Vista da Aparecida;4103057;PR;99,4
Boa Vista das Missões;4302154;RS;96,84
Boa Vista do Buricá;4302204;RS;97,84
Boa Vista do Cadeado;4302220;RS;105,25
Boa Vista do Gurupi;2101970;MA;103,06
Boa Vista do Incra;4302238;RS;101,87
Boa Vista do Ramos;1300680;AM;110,79
Boa Vista do Sul;4302253;RS;106,31
Boa Vista do Tupim;2903805;BA;102,85
Boca da Mata;2701001;AL;92,45
Boca do Acre;1300706;AM;107,84
Bocaina;2201804;PI;94,56
Bocaina;3506805;SP;95,71
Bocaina de Minas;3107208;MG;109,81
Bocaina do Sul;4202438;SC;109,1
Bocaiúva;3107307;MG;97,51
Bocaiúva do Sul;4103107;PR;99,68
Bodó;2401651;RN;101,75
Bodocó;2602001;PE;99,25
Bodoquena;5002159;MS;104,56
Bofete;3506904;SP;103,62
Boituva;3507001;SP;97
Bom Conselho;2602100;PE;91,57
Bom Despacho;3107406;MG;95,71
Bom Jardim;2102002;MA;101,53
Bom Jardim;2602209;PE;94,79
Bom Jardim;3300506;RJ;97,41
Bom Jardim da Serra;4202503;SC;104,26
Bom Jardim de Goiás;5203401;GO;102,75
Bom Jardim de Minas;3107505;MG;99,62
Bom Jesus;2201903;PI;99,05
Bom Jesus;2401701;RN;92,61
Bom Jesus;2502201;PB;103,93
Bom Jesus;4202537;SC;105,4
Bom Jesus;4302303;RS;98,83
Bom Jesus da Lapa;2903904;BA;96,36
Bom Jesus da Penha;3107604;MG;101,35
Bom Jesus da Serra;2903953;BA;106,67
Bom Jesus das Selvas;2102036;MA;106,4
Bom Jesus de Goiás;5203500;GO;100,49
Bom Jesus do Amparo;3107703;MG;98,34
Bom Jesus do Araguaia;5101852;MT;108,9
Bom Jesus do Galho;3107802;MG;103,47
Bom Jesus do Itabapoana;3300605;RJ;92,08
Bom Jesus do Norte;3201100;ES;89,29
Bom Jesus do Oeste;4202578;SC;102,13
Bom Jesus do Sul;4103156;PR;104,21
Bom Jesus do Tocantins;1501576;PA;124,05
Bom Jesus do Tocantins;1703305;TO;108,25
Bom Jesus dos Perdões;3507100;SP;97,86
Bom Lugar;2102077;MA;103,43
Bom Princípio;4302352;RS;100,34
Bom Princípio do Piauí;2201919;PI;109,99
Bom Progresso;4302378;RS;94,61
Bom Repouso;3107901;MG;107,94
Bom Retiro;4202602;SC;101,1
Bom Retiro do Sul;4302402;RS;97,15
Bom Sucesso;2502300;PB;98,26
Bom Sucesso;3108008;MG;96,91
Bom Sucesso;4103206;PR;98,28
